date,sensor,ambient
9/7/14 7:53,50.25,35
9/7/14 8:03,50.5,35
9/7/14 8:13,50.25,35
9/7/14 8:23,51.75,35
9/7/14 8:33,50.5,35
9/7/14 8:43,50.75,35
9/7/14 8:53,50.5,35
9/7/14 9:03,51,35
9/7/14 9:13,50,35
9/7/14 9:23,50.5,35
9/7/14 9:33,50.5,35
9/7/14 9:43,50.25,34.75
9/7/14 9:53,50.25,34.75
9/7/14 10:03,50.5,34.75
9/7/14 10:13,50.5,34.75
9/7/14 10:23,50.5,34.75
9/7/14 10:33,50.25,34.75
9/7/14 10:43,50.5,34.75
9/7/14 10:53,50.5,34.75
9/7/14 11:03,50.5,34.75
9/7/14 11:13,50.5,34.75
9/7/14 11:23,50.5,34.75
9/7/14 11:33,50.5,34.5
9/7/14 11:43,50.5,34.5
9/7/14 11:53,50.25,34.5
9/7/14 12:03,50.5,34.5
9/7/14 12:13,50.25,34.5
9/7/14 12:23,50.5,34.5
9/7/14 12:33,50.25,34.5
9/7/14 12:43,50.25,34.5
9/7/14 12:53,50.25,34.5
9/7/14 13:03,50.25,34.5
9/7/14 13:13,50.25,34.5
9/7/14 13:23,50.5,34.25
9/7/14 13:33,50.25,34.25
9/7/14 13:43,50.25,34.25
9/7/14 13:53,50.25,34.25
9/7/14 14:03,49.75,34.25
9/7/14 14:13,50,34.25
9/7/14 14:23,49.75,34.25
9/7/14 14:33,49.75,34.25
9/7/14 14:43,49.5,34.25
9/7/14 14:53,49.5,34.25
9/7/14 15:03,49.25,34.25
9/7/14 15:13,49.25,34.25
9/7/14 15:23,49.25,34.25
9/7/14 15:33,49.25,34.25
9/7/14 15:43,49,34
9/7/14 15:53,49,34
9/7/14 16:03,48.75,34
9/7/14 16:13,48.5,34
9/7/14 16:23,48.5,34
9/7/14 16:33,48.5,34
9/7/14 16:43,48.25,34
9/7/14 16:53,48.25,34
9/7/14 17:03,48,34
9/7/14 17:13,48,34
9/7/14 17:23,47.75,34
9/7/14 17:33,47.75,34
9/7/14 17:43,47.75,33.5
9/7/14 17:53,47.5,33.5
9/7/14 18:03,47.25,33.5
9/7/14 18:13,46,33.5
9/7/14 18:23,45,33.5
9/7/14 18:33,43,33.5
9/7/14 18:43,41,33.5
9/7/14 18:53,40,33.5
9/7/14 19:03,39,33.5
9/7/14 19:13,37,33.5
